count,time_add,time_find,time_del
100,0,0,0
200,1,0,0
300,0,0,0
400,1,0,0
500,0,0,0
600,0,0,0
700,1,0,0
800,1,0,1
900,0,0,1
1000,1,0,0
1100,1,0,1
1200,1,0,1
1300,1,0,1
1400,1,0,1
1500,2,0,1
1600,1,0,1
1700,2,0,1
1800,1,0,2
1900,1,0,2
2000,2,0,1
2100,2,0,1
2200,2,0,2
2300,2,0,2
2400,2,0,2
2500,2,0,2
2600,2,0,2
2700,2,0,2
2800,3,0,2
2900,3,0,2
3000,3,0,2
3100,3,0,2
3200,3,0,3
3300,3,0,2
3400,3,0,3
3500,3,0,2
3600,4,0,2
3700,3,0,3
3800,3,0,3
3900,4,0,3
4000,3,0,3
4100,4,0,3
4200,4,0,4
4300,3,0,4
4400,4,0,3
4500,4,0,4
4600,5,0,3
4700,5,0,3
4800,5,0,4
4900,5,0,3
5000,5,0,4
5100,5,0,4
5200,5,0,4
5300,5,0,5
5400,6,0,7
5500,6,0,4
5600,5,0,5
5700,6,0,4
5800,5,0,5
5900,6,0,5
6000,5,0,5
6100,6,0,6
6200,5,0,6
6300,6,0,5
6400,7,0,5
6500,6,0,5
6600,6,0,6
6700,6,0,6
6800,6,0,5
6900,6,0,6
7000,6,0,6
7100,7,0,5
7200,6,0,6
7300,7,0,6
7400,7,0,7
7500,7,0,7
7600,8,0,6
7700,9,0,7
7800,8,0,6
7900,8,0,7
8000,7,0,7
8100,8,0,7
8200,8,0,7
8300,8,0,7
8400,8,0,7
8500,9,0,7
8600,9,0,7
8700,9,0,7
8800,10,0,7
8900,9,0,8
9000,9,0,7
9100,9,0,8
9200,9,0,8
9300,9,0,8
9400,10,0,8
9500,9,0,8
9600,10,0,8
9700,10,0,8
9800,10,0,8
9900,10,0,8
10000,10,0,8
